phrase,recording_count,phrase_type
OK Google,591,Target (Common)
Birthday parties have cupcakes and ice cream,591,Target (Common)
My voice is my password,591,Target (Common)
A watched pot never boils,591,Target (Common)
Only lawyers love millionaires,591,Target (Common)
Actions speak louder than words,591,Target (Common)
Artificial intelligence is for real,591,Target (Common)
There's no such thing as a free lunch,591,Target (Common)
Jealousy has twenty-twenty vision,567,Target (Common)
Necessity is the mother of invention,567,Target (Common)
But he insisted he will be in prague,31,Target (Minor)
The hawks suffered their third straight defeat,31,Target (Minor)
Open sesame,31,Target (Minor)
Best first feature in the bedroom,31,Target (Minor)
It was not exactly on a roll,31,Target (Minor)
My voice tells who I am,31,Target (Minor)
After all they are only human,31,Target (Minor)
It is becoming business as usual,31,Target (Minor)
Those fears have now been dashed,31,Target (Minor)
It's time to create your own identity,31,Target (Minor)
In double coverage triple coverage didn't matter,31,Target (Minor)
I wish i could be like other boys,31,Target (Minor)
We have to thread the needle,29,Free-Text
I'm very confident in this team,29,Free-Text
But even that has been spoiled,29,Free-Text
What is your advice to voters,29,Free-Text
That touched off a shouting spree,29,Free-Text
Dressing the stars can be risky business,29,Free-Text
The cup hasn't traditionally been that way,26,Free-Text
There can be miracles when you believe,26,Free-Text
It's very hard to measure that he added,26,Free-Text
I hope police go to jail he said,26,Free-Text
He who laughs last laughs longest,26,Free-Text
At least it sounds good to say so,26,Free-Text
Money is the root of all evil,23,Free-Text
Yes he said looking away annoyed,23,Free-Text
And one last reason not to pick gordon,23,Free-Text
Within moments the discussion heats up,23,Free-Text
All paths take you to Rome,23,Free-Text
That prestige has been hard hit this year,23,Free-Text
He worries just as much about his weight,23,Free-Text
Say hi to your teacher,23,Free-Text
Boone also tried to hire him simpson said,23,Free-Text
Sixteen others were given first aid,23,Free-Text
It felt really good but highly unstable,23,Free-Text
It is simply an humanitarian appeal said mills,23,Free-Text
Roads to nowhere became roads to somewhere,23,Free-Text
The verdict put another country on the barbie,23,Free-Text
Unfortunately the artists are suffering the fallout too,23,Free-Text
But this year things look different,23,Free-Text
We love you tiger someone said,23,Free-Text
Their other demands were not immediately known,23,Free-Text
Obsession may be more like it,23,Free-Text
Both boys are above average students,23,Free-Text
Neither side disclosed terms of the settlement,23,Free-Text
European commission research commissioner louis michel,23,Free-Text
Hardly any of them can be measured,23,Free-Text
"Resistence is futile, you will be assimilated",23,Free-Text
Self motivation is the best motivation,22,Free-Text
What did he threaten to do randall asked,22,Free-Text
Human beings are wildly irrational,22,Free-Text
No further details of the incident were disclosed,22,Free-Text
Don't sweat the small stuff,22,Free-Text
So we were stupid sometimes stupid looks good,22,Free-Text
Take your clothes and leave from here,22,Free-Text
Corn and soybeans also posted gains,22,Free-Text
I want your job she told him,22,Free-Text
You want to smoke go outside he said,22,Free-Text
The russian foreign ministry issued a similar statement,22,Free-Text
Australia win toss and bat in third test,22,Free-Text
One loyal friend is worth ten thousand relatives,22,Free-Text
Watchdog to guard spirit of constitution,22,Free-Text
China focus literacy classes change farmers' fate,22,Free-Text
Dates in the life of gerald ford,22,Free-Text
Beijing to hold international auto show,22,Free-Text
From on friendship by frank pool,22,Free-Text
It was almost hard to believe,22,Free-Text
People are expecting another big build he said,22,Free-Text
Russian prime minister arrives in beijing,22,Free-Text
On monday night san francisco is at detroit,22,Free-Text
Just what is so charming about this show,22,Free-Text
Naturally people also brought up the weather,22,Free-Text
But the settlers were not buying it,18,Free-Text
Call him a romantic he's been called worse,18,Free-Text
The rat race will never be the same,18,Free-Text
It's way past time to make some changes,18,Free-Text
Spain and greece will meet in sunday's final,18,Free-Text
And the truly wild thing he might win,18,Free-Text
The owls are not what they seem,18,Free-Text
Yeah well chris ford thought so too,18,Free-Text
That didn't make up for it she said,18,Free-Text
Indonesia and malaysia also made similar points,18,Free-Text
I didn't walk around the neighborhood he said,18,Free-Text
LSTM's can model sequences,18,Free-Text
Lawyers indicated the three may appeal,17,Free-Text
Does that make her your favorite character,17,Free-Text
Clinton has repeatedly denied the allegations,17,Free-Text
The council said it was considering an appeal,17,Free-Text
Machine Learning is very interesting,17,Free-Text
Uncertainty moreover they noted that modernization of,17,Free-Text
My favourite color is blue,17,Free-Text
Oh well the kids probably will enjoy it,17,Free-Text
May the force be with you,17,Free-Text
Optimism and uncertainty appeared in equal measure,17,Free-Text
The second reason is a short chemistry lesson,17,Free-Text
China encourages enterprises to invest in kenya,17,Free-Text
Especially if that fantasy involves the theater,17,Free-Text
Other junior ministers had been named tuesday,17,Free-Text
We'll have a decision to make tracy said,17,Free-Text
None of the defendants testified during the trial,17,Free-Text
Of course it depends on whom you ask,17,Free-Text
He's kept his word and stayed in brazil,17,Free-Text
Live long and prosper,17,Free-Text
Maybe i better go down there he said,17,Free-Text
That's the sixty million dollar question said walsh,17,Free-Text
Blair under pressure to announce departure date,17,Free-Text
Full board includes breakfast lunch and dinner,17,Free-Text
The golf course is perfect he said,17,Free-Text
Soldiers have come to hate the place,16,Free-Text
So has dad been calling with advice,16,Free-Text
I often fall asleep while relaxing after dinner,16,Free-Text
That however wasn't enough to guarantee a conviction,16,Free-Text
This is Judy Chen,16,Free-Text
This is Liping Chen,16,Free-Text
A breakdown of the data for april showed,15,Free-Text
Not being an applicant for amnesty,15,Free-Text
Greece now has three points from three games,15,Free-Text
Picture paints a thousand words,15,Free-Text
Troy brown is a smart football player,15,Free-Text
At a general agreement of tariffs and trade,15,Free-Text
The new data could settle the issue,15,Free-Text
good bye to all that,15,Free-Text
At this point grossman nearly shouts,15,Free-Text
The scout meeting starts in a few minutes,15,Free-Text
Any money raised would go to the state,15,Free-Text
Ferry service resumed thursday morning,15,Free-Text
Young personality of the year andrew murray,15,Free-Text
We have to do something she said,15,Free-Text
live long and prosper,15,Free-Text
It only got worse for hawaii,15,Free-Text
It cannot be resolved by south korea,15,Free-Text
The headlines around south asia on wednesday,15,Free-Text
That sector would be the garage sale,15,Free-Text
Bush however had the crowd behind him,15,Free-Text
The warm feeling may not last very long,15,Free-Text
that which cannot continue will stop,15,Free-Text
Come on wipe off that bitter beer face,15,Free-Text
so long and thanks for all the fish,15,Free-Text
But the change in tribal leadership altered that,15,Free-Text
Among other measures adopted by china,15,Free-Text
We cannot entirely blame the animals,15,Free-Text
There have been other changes as well,15,Free-Text
Burt reynolds has become downright scary,15,Free-Text
Common wisdom would say such people are doomed,15,Free-Text
Just another day at the office he said,15,Free-Text
Now they inspire as much confidence as,15,Free-Text
The military is investigating the incident it added,15,Free-Text
The green house from the horrors of war,15,Free-Text
Nevada not on my watch he said,15,Free-Text
A penny for your thoughts,15,Free-Text
Hayes for one believes that will happen,14,Free-Text
So does the entire cowboys offense,14,Free-Text
Life is pretty good for us he said,14,Free-Text
Is there any inflation like baseball inflation,14,Free-Text
How about a look inside that closet,14,Free-Text
At least three other proposals are also emerging,14,Free-Text
Kobyla ma maly bok,14,Free-Text
the gods must be crazy,14,Free-Text
There was only one way to find out,14,Free-Text
But critics say the county's rationale is faulty,14,Free-Text
One heartbreak one throat lump not enough,14,Free-Text
Bailey wins world super jockey series,14,Free-Text
The radio report did not give other details,14,Free-Text
Company news news by industry regional,14,Free-Text
A glance at some major findings,14,Free-Text
The civil rights division of the justice department,14,Free-Text
No casualties were reported at the moment,14,Free-Text
Hovno s makem a tabakem,14,Free-Text
A year ago expectations is going to go,14,Free-Text
The legislative caucus of the opposition kuomintang legislator,14,Free-Text
Still he expressed hope for the future,14,Free-Text
Strikes can cost an employer dearly,14,Free-Text
one flew over the cuckoo's nest,14,Free-Text
Adapted from dim sum the essential kitchen,14,Free-Text
The action is always hot sometimes too hot,13,Free-Text
They were pleased by the decision wednesday,13,Free-Text
Jordan announced they would appeal the decision,13,Free-Text
What can I do for you?,13,Free-Text
The name is weird but the appeal straightforward,13,Free-Text
Hong Kong democracy now,13,Free-Text
The cleveland cavaliers waived reserve guard greg graham,13,Free-Text
Friedman said the modifications satisfied any antitrust concerns,13,Free-Text
To carry an oily rag like that,13,Free-Text
And so graduate you have a choice,13,Free-Text
Germany play portugal for world cup third place,13,Free-Text
I will be right here waiting for you.,13,Free-Text
The bill still drew controversy as clinton signed,13,Free-Text
He just got into a lot of things,13,Free-Text
Maybe the governor should give her a promotion,13,Free-Text
And this is called the ethics commission remember,13,Free-Text
Much of country is covered with thick forests,13,Free-Text
Arroyo could not be immediately reached for comment,13,Free-Text
What kind of lamb enjoys working out,13,Free-Text
Such people cannot be your friends,13,Free-Text
This is the england that tony blair controls,13,Free-Text
Other topics on the agenda tuesday,13,Free-Text
Two advertisers have named new agencies,13,Free-Text
No state constitutional amendment can rewrite that conclusion,13,Free-Text
India sends biggest delegation and the most ships,12,Free-Text
Police would not comment on the attack,12,Free-Text
Is your workplace safe for children,12,Free-Text
Two faces of a franchise are broken,12,Free-Text
But it isn't all about healthier choices,12,Free-Text
I don't think that I love you.,12,Free-Text
Tan could not be immediately reached for comment,12,Free-Text
I work in the Institute for Infocomm Research,12,Free-Text
Falling in love is magical and scientific,12,Free-Text
"Everything should be as simple as possible, but not simpler",12,Free-Text
Photos by craig lee the chronicle,12,Free-Text
Making reservations and not showing up,12,Free-Text
They can either give up or be destroyed,12,Free-Text
Gene kelly just knows everyone loves him,12,Free-Text
Among the provisions in the pension reform section,12,Free-Text
Do not bend or twist audio cables,12,Free-Text
English football tables after monday's matches,12,Free-Text
